model,MAE_train,RMSE_train,R2_train,CV_MAE_mean,CV_MAE_std,train_time_s,inference_time_s,best_params
Ridge (Baseline),30.17130663541289,39.49642271999225,0.6711954545024728,30.60345971720348,2.137808067338601,0.03393179998965934,0.0013559669998358004,
RandomForest (Advanced),15.710350467537578,23.290798501002563,0.8856618807458918,24.731587502126025,1.1145008220464399,807.5251712999889,0.10328195699985372,"{""model__n_estimators"": 400, ""model__min_samples_leaf"": 8, ""model__max_features"": 0.5, ""model__max_depth"": 16}"
GradientBoosting (Advanced),20.956393072548774,29.6286253322177,0.8149686607310748,25.169481003053573,0.987833144051087,696.0949399999809,0.002088451999879908,"{""model__subsample"": 0.85, ""model__n_estimators"": 100, ""model__max_depth"": 5, ""model__learning_rate"": 0.05}"
