MAE,RMSE,R2,MAPE,model,fold,task
33.174997479016454,44.763117626961616,0.6001973555930793,65.68688467693077,Ridge,1,RUL_regression
31.577360851994275,42.57813909182092,0.6222003991967245,61.89664419231404,Ridge,2,RUL_regression
29.965956514511,38.47796000960264,0.6885605911596863,66.1174640165659,Ridge,3,RUL_regression
30.89378945336408,38.91193139953286,0.6720965187909855,64.57827412394688,Ridge,4,RUL_regression
27.405194287131597,34.87439217347354,0.7320625349063923,66.6294913225056,Ridge,5,RUL_regression
26.038312865961696,39.6394306061924,0.6864839168560959,27.985395032095845,RandomForest,1,RUL_regression
23.93530592896037,36.89337105523911,0.7163486717565168,25.515017288278706,RandomForest,2,RUL_regression
23.489041494353224,33.89635832305411,0.7583117303109621,26.472693773905082,RandomForest,3,RUL_regression
25.73597449386847,37.030138253334854,0.7030446738001563,28.85016460263673,RandomForest,4,RUL_regression
24.459302727486378,33.32522093541261,0.7553381671368311,27.110782382088576,RandomForest,5,RUL_regression
26.28207987823852,39.94012588584617,0.6817093592816018,30.7165798895705,GradientBoosting,1,RUL_regression
24.33848571120978,37.24739845768669,0.7108787374582042,28.918427678248676,GradientBoosting,2,RUL_regression
24.258262283869264,34.5830307328647,0.7484203030064461,28.998085493937413,GradientBoosting,3,RUL_regression
26.1721478174714,37.38834890686217,0.6972716973309161,32.60836091782769,GradientBoosting,4,RUL_regression
24.796429324478904,33.582466428254506,0.7515463800478857,29.86233431968349,GradientBoosting,5,RUL_regression
